brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,vehicle_age,price_per_mile,is_luxury,high_mileage,age_group
Ford,Utility Police Interceptor Base,2013,51000,E85 Flex Fuel,300.0,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,10300,13,0.20195682437599263,0,0,Old
Hyundai,Palisade SEL,2021,34742,Gasoline,3.8,8-Speed Automatic,Moonlight Cloud,Gray,At least 1 accident or damage reported,Yes,38005,5,1.0938894165731226,0,0,New
Lexus,RX 350 RX 350,2022,22372,Gasoline,3.5,Automatic,Blue,Black,None reported,Yes,54598,4,2.4403522102534305,1,0,New
INFINITI,Q50 Hybrid Sport,2015,88900,Hybrid,354.0,7-Speed A/T,Black,Black,None reported,Yes,15500,11,0.1743512446429174,0,0,Old
Audi,Q3 45 S line Premium Plus,2021,9835,Gasoline,2.0,8-Speed Automatic,Glacier White Metallic,Black,None reported,Yes,34999,5,3.558255388369256,1,0,New
Acura,ILX 2.4L,2016,136397,Gasoline,2.4,F,Silver,Ebony.,None reported,Yes,14798,10,0.10849132685229988,0,1,Moderate
Audi,S3 2.0T Premium Plus,2017,84000,Gasoline,292.0,6-Speed A/T,Blue,Black,None reported,Yes,31000,9,0.3690432256758848,1,0,Moderate
Lexus,RC 350 F Sport,2021,23436,Gasoline,311.0,6-Speed A/T,Black,Black,None reported,Yes,41927,5,1.7889234970346035,1,0,New
Tesla,Model X Long Range Plus,2020,34000,Gasoline,534.0,A/T,Black,Black,None reported,Yes,69950,6,2.0572924325755126,1,0,Moderate
Land,Rover Range Rover Sport 3.0 Supercharged HST,2021,27608,Gasoline,6.0,Automatic,Fuji White,Pimento / Ebony,None reported,Yes,73897,5,2.6765547466405883,1,0,New
Toyota,Supra 3.0 Premium,2021,12500,Gasoline,382.0,A/T,Yellow,Black,None reported,Yes,53500,5,4.279657627389809,0,0,New
Lincoln,Aviator Reserve AWD,2022,18196,Gasoline,400.0,Transmission w/Dual Shift Mode,Black,Brown,None reported,Yes,62000,4,3.4071550255536627,0,0,New
Jaguar,F-TYPE,2020,15903,Gasoline,2.0,Automatic,Silver,Black,None reported,Yes,47998,6,3.017982897384306,1,0,Moderate
Land,Rover LR4 HSE,2013,79800,Gasoline,375.0,A/T,White,Black,None reported,Yes,29990,13,0.3758098269445245,1,0,Old
Dodge,Challenger SXT,2013,61074,Gasoline,305.0,A/T,Black,Gray,None reported,Yes,16800,13,0.27507163323782235,0,0,Old
Nissan,350Z Enthusiast,2003,74000,Gasoline,287.0,6-Speed M/T,Purple,–,None reported,Yes,11000,23,0.1486466399102715,0,0,Very Old
Jaguar,F-TYPE R,2018,35250,Gasoline,550.0,8-Speed A/T,Green,Black,None reported,Yes,68750,8,1.9502992822898642,1,0,Moderate
Genesis,GV70 3.5T Sport,2023,5400,Gasoline,375.0,8-Speed A/T,Green,Beige,None reported,Yes,60000,3,11.109053878911313,0,0,New
Chevrolet,S-10 LS,2000,133510,E85 Flex Fuel,120.0,A/T,Blue,Black,None reported,Yes,4500,26,0.0337050879702796,0,1,Very Old
BMW,440 Gran Coupe 440i xDrive,2020,25990,Gasoline,3.0,Automatic,White,Beige,None reported,Yes,38598,6,1.4850525181793697,1,0,Moderate
Ford,F-150 XLT,2023,2823,Gasoline,3.5,Automatic,Iconic Silver Metallic,Black,None reported,Yes,58504,3,20.71671388101983,0,0,New
Chevrolet,Suburban RST,2021,52000,Gasoline,355.0,10-Speed A/T,Blue,Black,None reported,Yes,61000,5,1.1730543643391473,0,0,New
Hyundai,Elantra N Base,2022,11650,Gasoline,276.0,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,32300,4,2.772294223671788,0,0,New
Nissan,Sentra SR,2016,96541,Gasoline,1.8,Automatic,Blue,Black,None reported,Yes,13998,10,0.14499388867021606,0,0,Moderate
Mercedes-Benz,AMG CLA 45 Base 4MATIC,2021,17500,Gasoline,382.0,A/T,Gray,Black,None reported,Yes,59995,5,3.4280898234386608,1,0,New
BMW,650 Gran Coupe i xDrive,2015,69000,Gasoline,445.0,8-Speed A/T,Gray,Black,None reported,Yes,25700,11,0.37245837016854827,1,0,Old
Audi,Q5 2.0T Premium Plus,2017,81880,E85 Flex Fuel,2.0,8-Speed Automatic,Mythos Black Metallic,Black,None reported,Yes,21375,9,0.26104957193976625,1,0,Moderate
Mercedes-Benz,AMG C 43 Base 4MATIC,2018,28800,Gasoline,362.0,9-Speed A/T,Silver,Black,None reported,Yes,48000,8,1.6666087983056144,1,0,Moderate
BMW,i3 120Ah w/Range Extender,2020,35035,Hybrid,120.0,Automatic,Black,Black,None reported,Yes,24998,6,0.7134946911747917,1,0,Moderate
Kia,Sorento SX,2011,171000,Gasoline,276.0,A/T,Black,Black,None reported,Yes,5999,15,0.03508166618908661,0,1,Old
